Title,Year,Rating,Duration,Genre
The Shawshank Redemption,1994,9.3,142 min,Drama
The Godfather,1972,9.2,175 min,"Crime, Drama"
The Dark Knight,2008,9.0,152 min,"Action, Crime, Drama"
Pulp Fiction,1994,8.9,154 min,"Crime, Drama"
The Lord of the Rings,2003,8.9,201 min,"Adventure, Drama, Fantasy"
Schindler's List,1993,8.9,195 min,"Biography, Drama, History"
Fight Club,1999,8.8,139 min,Drama
Inception,2010,8.8,148 min,"Action, Adventure, Sci-Fi"
The Matrix,1999,8.7,136 min,"Action, Sci-Fi"
Goodfellas,1990,8.7,146 min,"Biography, Crime, Drama"
Star Wars: Episode V,1980,8.7,124 min,"Action, Adventure, Fantasy"
Seven Samurai,1954,8.6,207 min,"Action, Adventure, Drama"
City of God,2002,8.6,130 min,"Crime, Drama"
The Silence of the Lambs,1991,8.6,118 min,"Crime, Drama, Thriller"
It's a Wonderful Life,1946,8.6,130 min,"Drama, Family, Fantasy"
Life Is Beautiful,1997,8.6,116 min,"Comedy, Drama, Romance"
The Usual Suspects,1995,8.5,106 min,"Crime, Drama, Mystery"
Léon: The Professional,1994,8.5,110 min,"Action, Crime, Drama"
Spirited Away,2001,8.6,125 min,"Animation, Adventure, Family"
Saving Private Ryan,1998,8.6,169 min,"Drama, War"
Parasite,2019,8.6,132 min,"Comedy, Drama, Thriller"
Interstellar,2014,8.6,169 min,"Adventure, Drama, Sci-Fi"
The Green Mile,1999,8.6,189 min,"Crime, Drama, Fantasy"
American History X,1998,8.5,119 min,"Crime, Drama"
The Pianist,2002,8.5,150 min,"Biography, Drama, Music"
The Departed,2006,8.5,151 min,"Crime, Drama, Thriller"
Terminator 2: Judgment Day,1991,8.5,137 min,"Action, Sci-Fi"
Back to the Future,1985,8.5,116 min,"Adventure, Comedy, Sci-Fi"
Whiplash,2014,8.5,106 min,"Drama, Music"
Gladiator,2000,8.5,155 min,"Action, Adventure, Drama"
The Prestige,2006,8.5,130 min,"Drama, Mystery, Sci-Fi"
Memento,2000,8.4,113 min,"Mystery, Thriller"
Apocalypse Now,1979,8.4,147 min,"Drama, War"
Alien,1979,8.4,117 min,"Horror, Sci-Fi"
Sunset Blvd.,1950,8.4,110 min,"Drama, Film-Noir"
The Great Dictator,1940,8.4,125 min,"Comedy, Drama, War"
Cinema Paradiso,1988,8.4,155 min,Drama
The Shining,1980,8.4,146 min,"Drama, Horror"
Once Upon a Time in America,1984,8.4,229 min,"Crime, Drama"
Casablanca,1942,8.5,102 min,"Drama, Romance, War"
Django Unchained,2012,8.4,165 min,"Drama, Western"
WALL·E,2008,8.4,98 min,"Animation, Adventure, Family"
The Lion King,1994,8.5,88 min,"Animation, Adventure, Drama"
Grave of the Fireflies,1988,8.5,89 min,"Animation, Drama, War"
Oldboy,2003,8.4,120 min,"Action, Drama, Mystery"
Princess Mononoke,1997,8.4,134 min,"Animation, Adventure, Fantasy"
Joker,2019,8.4,122 min,"Crime, Drama, Thriller"
Braveheart,1995,8.4,178 min,"Biography, Drama, History"
A Clockwork Orange,1971,8.3,136 min,"Crime, Sci-Fi"
