Title,Rating,Duration,action,adventure,animation,biography,comedy,crime,drama,family,fantasy,film-noir,history,horror,music,mystery,romance,sci-fi,thriller,war,western
The Shawshank Redemption,9.3,142,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Godfather,9.2,175,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Dark Knight,9.0,152,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Pulp Fiction,8.9,154,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings,8.9,201,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Schindler's List,8.9,195,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Fight Club,8.8,139,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Inception,8.8,148,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Matrix,8.7,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Goodfellas,8.7,146,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars: Episode V,8.7,124,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Seven Samurai,8.6,207,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
City of God,8.6,130,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Silence of the Lambs,8.6,118,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
It's a Wonderful Life,8.6,130,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Life Is Beautiful,8.6,116,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
The Usual Suspects,8.5,106,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Léon: The Professional,8.5,110,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Spirited Away,8.6,125,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Saving Private Ryan,8.6,169,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Parasite,8.6,132,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Interstellar,8.6,169,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
The Green Mile,8.6,189,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
American History X,8.5,119,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Pianist,8.5,150,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
The Departed,8.5,151,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Terminator 2: Judgment Day,8.5,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Back to the Future,8.5,116,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Whiplash,8.5,106,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Gladiator,8.5,155,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Prestige,8.5,130,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Memento,8.4,113,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Apocalypse Now,8.4,147,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Alien,8.4,117,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Sunset Blvd.,8.4,110,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
The Great Dictator,8.4,125,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Cinema Paradiso,8.4,155,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Shining,8.4,146,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Once Upon a Time in America,8.4,229,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,8.5,102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Django Unchained,8.4,165,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
WALL·E,8.4,98,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Lion King,8.5,88,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Grave of the Fireflies,8.5,89,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Oldboy,8.4,120,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Princess Mononoke,8.4,134,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Joker,8.4,122,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Braveheart,8.4,178,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
A Clockwork Orange,8.3,136,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
